,Text,Created_at,neg,neu,pos,compound,sentiment,top_10_only
10649,"b""@blerhgh thank you for speaking up for survivors. #metoo was just the beginning. we can't let it be the end. \0\x9f\x92\x9c""",2019-10-15 22:57:00,0.0,0.8,0.2,0.3612,positive,set()
10650,"boxersforlife: hey @betoorourke since you2\x80\x99re all about the #metoo movement and believing all women, @lgjustinfairfax the lt. governor o2\x806'",2019-10-15 22:57:00,0.0,1.0,0.0,0.0,neutral,{'movement'}
10651,taranaburke: the rate of sexual violence in indigenous communities is beyond alarming and they are the group with the largest number of2\x806',2019-10-15 22:57:00,0.331,0.592,0.077,-0.6486,negative,{'sexual'}
10652,"kaceykells: kellcey ""this story not only bears witness to what countless other women have gone through, but also offers a message of ho2\x806'",2019-10-15 22:57:00,0.0,1.0,0.0,0.0,neutral,{'women'}
10653,ktruman3 @ellievan65 speaking of that entitled monster...\n\nhere2\x80\x99s our latest opus about that blackout drunk.\n\nplea2\x806 https://t.co/umk4qkicvt',2019-10-15 22:57:00,0.13,0.757,0.114,-0.0772,negative,set()
10654," @kamalaharris: for years, @taranaburke led the #metoo movement. it wasn't until this day in 2017 that sexual assault survivors worldwide2\x806""",2019-10-15 22:56:00,0.241,0.759,0.0,-0.5859,negative,{'sexual'}
10655,"in light of the metoo generation i always ask, ""if i said you have a great body, would you hold it against me?"" https://t.co/hyfrvufgvh'",2019-10-15 22:56:00,0.0,0.728,0.272,0.6249,positive,{'metoo'}
10656,"mr_brown_sir @jansco3283 exactly!!! or when is @alyssa_milano, @gloriaallred, and @taranaburke aka g0dzilla f*ce,2\x806 https://t.co/fnro2owk0r'",2019-10-15 22:56:00,0.0,1.0,0.0,0.0,neutral,set()
10657," @magakitten: i figured this one out guys!!! nancy can't wipe so she needs help, and the rest are there to make sure no #metoo business h2\x806""",2019-10-15 22:56:00,0.0,0.706,0.294,0.6124,positive,set()
10658,"rainesford: recently, alexandra waterbury, who is suing new york city ballet for sexual misconduct, spoke at the @berkeleyforum on brea2\x806'",2019-10-15 22:55:00,0.13,0.87,0.0,-0.2732,negative,{'sexual'}
